prenom;nom;login;ECTS acquis;Moyenne;Choix 1;Choix 2;Choix 3;Choix 4;Choix 5;Choix 6
Thérèse;Valette-Raymond;ThérèseValette-Raymond@cy-tech.fr;30;12,549;DS ;IAC ;FT ;BI ;IAP ;HPDA
Xavier;Leclerc-Dupont;XavierLeclerc-Dupont@cy-tech.fr;15;11,201;DS ;FT ;IAC ;IAP ;HPDA ;BI
Franck;Gonzalez;FranckGonzalez@cy-tech.fr;30;11,989;DS ;IAC ;FT ;BI ;IAP ;HPDA
Frédérique;Guilbert;FrédériqueGuilbert@cy-tech.fr;30;11,878;DS ;IAC ;FT ;BI ;IAP ;HPDA
Margot;Aubert;MargotAubert@cy-tech.fr;30;11,681;DS ;IAC ;FT ;IAP ;BI ;HPDA
Robert;de;Robertde@cy-tech.fr;15;11,16;FT ;DS ;BI ;HPDA ;IAC ;IAP
Adélaïde;Menard-Perrier;AdélaïdeMenard-Perrier@cy-tech.fr;15;10,837;DS ;FT ;BI ;IAC ;HPDA ;IAP
Henri;Pasquier-Pierre;HenriPasquier-Pierre@cy-tech.fr;15;10,517;FT ;DS ;IAC ;BI ;HPDA ;IAP
Nath;Rolland;NathRolland@cy-tech.fr;15;10,45;IAC ;DS ;FT ;BI ;IAP ;HPDA
Alexandrie;Sanchez;AlexandrieSanchez@cy-tech.fr;15;10,417;FT ;DS ;BI ;IAC ;IAP ;HPDA
Martin;Masson;MartinMasson@cy-tech.fr;15;10,401;IAC ;DS ;FT ;BI ;IAP ;HPDA
André;Ramos;AndréRamos@cy-tech.fr;15;10,313;HPDA ;IAC ;IAP ;DS ;BI ;FT
Adrienne;Pinto;AdriennePinto@cy-tech.fr;15;10,269;FT ;DS ;IAP ;HPDA ;IAC ;BI
Alain;Hernandez;AlainHernandez@cy-tech.fr;15;9,884;DS ;IAP ;IAC ;HPDA ;FT ;BI
Véronique;Techer;VéroniqueTecher@cy-tech.fr;15;10,178;DS ;FT ;BI ;IAC ;HPDA ;IAP
Thibaut;de;Thibautde@cy-tech.fr;15;10,135;FT ;BI ;DS ;IAC ;HPDA ;IAP
Mathilde;Camus;MathildeCamus@cy-tech.fr;0;0;IAP ;HPDA ;IAC ;BI ;FT ;DS
Simone;Marty;SimoneMarty@cy-tech.fr;15;10,098;IAC ;DS ;FT ;BI ;IAP ;HPDA
Geneviève;Hoarau;GenevièveHoarau@cy-tech.fr;15;9,816;DS ;HPDA ;IAP ;IAC ;BI ;FT
Daniel;Mallet;DanielMallet@cy-tech.fr;15;9,701;FT ;DS ;BI ;IAC ;HPDA ;IAP
Olivie-Philippine;Diallo;Olivie-PhilippineDiallo@cy-tech.fr;15;10,114;FT ;DS ;IAC ;BI ;IAP ;HPDA
Agnès;de;Agnèsde@cy-tech.fr;15;9,68;IAC ;DS ;FT ;BI ;IAP ;HPDA
Jérôme;Pichon;JérômePichon@cy-tech.fr;15;6,565;FT ;DS ;IAC ;IAP ;HPDA ;BI
Édouard;Nicolas;ÉdouardNicolas@cy-tech.fr;15;9,535;FT ;DS ;BI ;HPDA ;IAC ;IAP
Zacharie;Loiseau;ZacharieLoiseau@cy-tech.fr;15;9,519;IAC ;DS ;BI ;FT ;IAP ;HPDA
Suzanne;Lebon;SuzanneLebon@cy-tech.fr;15;9,514;IAC ;DS ;FT ;BI ;IAP ;HPDA
Océane;Guyon-Dumont;OcéaneGuyon-Dumont@cy-tech.fr;15;9,443;FT ;IAC ;BI ;DS ;IAP ;HPDA
René;Simon;RenéSimon@cy-tech.fr;15;9,441;DS ;IAC ;HPDA ;IAP ;FT ;BI
Alexandre;Lambert;AlexandreLambert@cy-tech.fr;15;7,884;BI ;FT ;IAP ;HPDA ;DS ;IAC
Frédéric;Pages;FrédéricPages@cy-tech.fr;0;0;DS ;IAC ;HPDA ;IAP ;BI ;FT
Bernadette;Le;BernadetteLe@cy-tech.fr;15;10,065;FT ;DS ;IAC ;IAP ;HPDA ;BI
Daniel;Perrier;DanielPerrier@cy-tech.fr;15;9,038;HPDA ;DS ;BI ;IAP ;IAC ;FT
Daniel-Bernard;Arnaud;Daniel-BernardArnaud@cy-tech.fr;15;8,779;DS ;FT ;BI ;IAC ;HPDA ;IAP
Capucine;Bertrand;CapucineBertrand@cy-tech.fr;0;0;BI ;IAP ;DS ;HPDA ;FT ;IAC
Antoine;Dupont;AntoineDupont@cy-tech.fr;15;8,86;DS ;FT ;IAC ;BI ;IAP ;HPDA
Thierry;Roux;ThierryRoux@cy-tech.fr;15;8,159;BI ;FT ;DS ;IAC ;HPDA ;IAP
Édith;Fischer;ÉdithFischer@cy-tech.fr;15;8,738;FT ;IAC ;DS ;BI ;IAP ;HPDA
Alain-Thibault;Cordier;Alain-ThibaultCordier@cy-tech.fr;15;8,15;FT ;DS ;BI ;IAC ;HPDA ;IAP
Victoire;Guichard;VictoireGuichard@cy-tech.fr;15;7,85;FT ;BI ;DS ;IAC ;HPDA ;IAP
Michel;Laroche;MichelLaroche@cy-tech.fr;15;7,207;IAP ;HPDA ;FT ;DS ;BI ;IAC
