nom;prenom;mail;etcs;moyenne;choix;attribué;rang
Hoarau;Laure;LaureHoarau@cy-tech.fr;30;12.951;IAP;1;6
Breton;Claude;ClaudeBreton@cy-tech.fr;30;12.84;IAP;1;7
Perrot;Stéphane;StéphanePerrot@cy-tech.fr;30;12.741;DS;1;34
Dufour;Alexandria;AlexandriaDufour@cy-tech.fr;30;12.643;IAP;1;8
Valette-Raymond;Thérèse;ThérèseValette-Raymond@cy-tech.fr;30;12.549;DS;1;35
Guibert-Leconte;Célina;CélinaGuibert-Leconte@cy-tech.fr;30;12.519;FT;2;8
Marty;Céline;CélineMarty@cy-tech.fr;30;12.506;IAC;1;8
Monnier;Joséphine;JoséphineMonnier@cy-tech.fr;30;12.462;IAP;1;9
Rodriguez;Jean;JeanRodriguez@cy-tech.fr;30;12.434;FT;1;9
de;Diane;Dianede@cy-tech.fr;15;12.428;IAC;1;9
Albert;Eugène;EugèneAlbert@cy-tech.fr;15;12.425;IAC;2;10
Roy;Margaux-Chantal;Margaux-ChantalRoy@cy-tech.fr;30;12.386;FT;1;10
Chauvet;Suzanne;SuzanneChauvet@cy-tech.fr;15;12.361;FT;1;11
Gillet;Thérèse;ThérèseGillet@cy-tech.fr;30;12.35;IAC;1;11
Loiseau;Benoît-Nicolas;Benoît-NicolasLoiseau@cy-tech.fr;30;12.254;FT;1;12
Voisin;Luc;LucVoisin@cy-tech.fr;15;12.24;IAP;1;10
Ollivier;Charlotte;CharlotteOllivier@cy-tech.fr;30;12.165;FT;1;13
Gonzalez;Franck;FranckGonzalez@cy-tech.fr;30;11.989;IAC;2;12
Pons;Anne;AnnePons@cy-tech.fr;15;11.891;HPDA;1;3
Guilbert;Frédérique;FrédériqueGuilbert@cy-tech.fr;30;11.878;IAC;2;13
Prevost;Jérôme;JérômePrevost@cy-tech.fr;15;11.845;FT;2;14
Muller;Anne-Camille;Anne-CamilleMuller@cy-tech.fr;30;11.741;FT;1;15
Lecoq;Dominique;DominiqueLecoq@cy-tech.fr;15;11.725;FT;1;16
Aubert;Margot;MargotAubert@cy-tech.fr;30;11.681;IAC;2;14
Henry;Théodore;ThéodoreHenry@cy-tech.fr;30;11.632;FT;2;17
Le;Agathe;AgatheLe@cy-tech.fr;30;11.624;HPDA;1;4
Charpentier;Alexandria;AlexandriaCharpentier@cy-tech.fr;30;11.614;FT;2;18
Hoareau;Joséphine;JoséphineHoareau@cy-tech.fr;15;11.44;FT;1;19
Martineau;Marguerite;MargueriteMartineau@cy-tech.fr;15;11.308;IAC;2;15
Hebert;Laurence;LaurenceHebert@cy-tech.fr;15;11.207;IAC;2;16
Leclerc-Dupont;Xavier;XavierLeclerc-Dupont@cy-tech.fr;15;11.201;FT;2;20
de;Robert;Robertde@cy-tech.fr;15;11.16;FT;1;21
Didier;Patricia;PatriciaDidier@cy-tech.fr;15;11.127;IAC;2;17
Lebreton;Diane;DianeLebreton@cy-tech.fr;30;10.943;FT;2;22
Legendre;Olivie;OlivieLegendre@cy-tech.fr;15;10.872;IAP;1;11
Menard-Perrier;Adélaïde;AdélaïdeMenard-Perrier@cy-tech.fr;15;10.837;FT;2;23
Dias;Maurice;MauriceDias@cy-tech.fr;30;10.773;IAC;1;18
de;Manon;Manonde@cy-tech.fr;30;10.772;FT;2;24
Levy;Alphonse;AlphonseLevy@cy-tech.fr;15;10.663;HPDA;1;5
Pasquier-Pierre;Henri;HenriPasquier-Pierre@cy-tech.fr;15;10.517;FT;1;25
Rolland;Nath;NathRolland@cy-tech.fr;15;10.45;IAC;1;19
Sanchez;Alexandrie;AlexandrieSanchez@cy-tech.fr;15;10.417;FT;1;26
Masson;Martin;MartinMasson@cy-tech.fr;15;10.401;IAC;1;20
Ramos;André;AndréRamos@cy-tech.fr;15;10.313;HPDA;1;6
Pinto;Adrienne;AdriennePinto@cy-tech.fr;15;10.269;FT;1;27
Techer;Véronique;VéroniqueTecher@cy-tech.fr;15;10.178;FT;2;28
de;Thibaut;Thibautde@cy-tech.fr;15;10.135;FT;1;29
Diallo;Olivie-Philippine;Olivie-PhilippineDiallo@cy-tech.fr;15;10.114;FT;1;30
Marty;Simone;SimoneMarty@cy-tech.fr;15;10.098;FT;3;31
Le;Bernadette;BernadetteLe@cy-tech.fr;15;10.065;FT;1;32
Bigot;Roger;RogerBigot@cy-tech.fr;15;10.046;IAP;1;12
Hernandez;Alain;AlainHernandez@cy-tech.fr;15;9.884;IAP;2;13
Hoarau;Geneviève;GenevièveHoarau@cy-tech.fr;15;9.816;HPDA;2;7
Mallet;Daniel;DanielMallet@cy-tech.fr;15;9.701;FT;1;33
de;Agnès;Agnèsde@cy-tech.fr;15;9.68;FT;3;34
Nicolas;Édouard;ÉdouardNicolas@cy-tech.fr;15;9.535;FT;1;35
Pottier-Barre;Guy;GuyPottier-Barre@cy-tech.fr;15;9.527;IAP;1;14
Loiseau;Zacharie;ZacharieLoiseau@cy-tech.fr;15;9.519;BI;3;1
Lebon;Suzanne;SuzanneLebon@cy-tech.fr;15;9.514;BI;4;2
Guyon-Dumont;Océane;OcéaneGuyon-Dumont@cy-tech.fr;15;9.443;BI;3;3
Simon;René;RenéSimon@cy-tech.fr;15;9.441;HPDA;3;8
Perrier;Daniel;DanielPerrier@cy-tech.fr;15;9.038;HPDA;1;9
Dupont;Antoine;AntoineDupont@cy-tech.fr;15;8.86;BI;4;4
Arnaud;Daniel-Bernard;Daniel-BernardArnaud@cy-tech.fr;15;8.779;BI;3;5
Fischer;Édith;ÉdithFischer@cy-tech.fr;15;8.738;BI;4;6
Roux;Thierry;ThierryRoux@cy-tech.fr;15;8.159;BI;1;7
Cordier;Alain-Thibault;Alain-ThibaultCordier@cy-tech.fr;15;8.15;BI;3;8
Lambert;Alexandre;AlexandreLambert@cy-tech.fr;15;7.884;BI;1;9
Guichard;Victoire;VictoireGuichard@cy-tech.fr;15;7.85;BI;2;10
Laroche;Michel;MichelLaroche@cy-tech.fr;15;7.207;IAP;1;15
Pichon;Jérôme;JérômePichon@cy-tech.fr;15;6.565;IAP;4;16
Camus;Mathilde;MathildeCamus@cy-tech.fr;0;0;IAP;1;17
Pages;Frédéric;FrédéricPages@cy-tech.fr;0;0;HPDA;3;10
Bertrand;Capucine;CapucineBertrand@cy-tech.fr;0;0;BI;1;11
Dupre;Gabriel-Victor;Gabriel-VictorDupre@cy-tech.fr;30;17.417;IAC;1;21
Ribeiro;Marc;MarcRibeiro@cy-tech.fr;30;16.946;ICC;1;1
Sauvage;Susan;SusanSauvage@cy-tech.fr;30;16.742;IAC;1;22
Alves;Denis-Adrien;Denis-AdrienAlves@cy-tech.fr;30;16.662;BI;1;12
Levy;Michel;MichelLevy@cy-tech.fr;30;16.572;IAC;1;23
Boulay;Adélaïde;AdélaïdeBoulay@cy-tech.fr;30;16.54;IAC;1;24
Seguin;Marthe;MartheSeguin@cy-tech.fr;30;16.529;CS;1;1
Jacquet;Noël;NoëlJacquet@cy-tech.fr;30;16.427;CS;1;2
Mallet;Monique;MoniqueMallet@cy-tech.fr;30;16.333;IAP;1;18
Lamy-Besson;Charles;CharlesLamy-Besson@cy-tech.fr;30;16.301;CS;1;3
Herve;François;FrançoisHerve@cy-tech.fr;30;16.26;INEM;1;1
Hamel;Marine;MarineHamel@cy-tech.fr;30;16.199;IAC;1;25
Marie;Caroline;CarolineMarie@cy-tech.fr;30;16.129;INEM;1;2
Lemaitre;Jeannine;JeannineLemaitre@cy-tech.fr;30;16.114;CS;1;4
Humbert;Joséphine;JoséphineHumbert@cy-tech.fr;30;16.066;ICC;1;2
Lenoir;Benoît;BenoîtLenoir@cy-tech.fr;30;16.06;IAC;1;26
Marty;Pénélope;PénélopeMarty@cy-tech.fr;30;16.038;IAC;1;27
Ramos;Alfred;AlfredRamos@cy-tech.fr;30;15.958;CS;1;5
Normand;Philippine;PhilippineNormand@cy-tech.fr;30;15.873;CS;1;6
Dufour-Gallet;Luc;LucDufour-Gallet@cy-tech.fr;30;15.779;HPDA;1;11
Gros;Corinne;CorinneGros@cy-tech.fr;30;15.758;IAC;1;28
Dijoux;Isabelle;IsabelleDijoux@cy-tech.fr;30;15.746;CS;1;7
Gaillard;Dominique;DominiqueGaillard@cy-tech.fr;30;15.715;IAC;1;29
Ribeiro;Pénélope;PénélopeRibeiro@cy-tech.fr;30;15.709;VISUA;1;1
Marchal;Zacharie;ZacharieMarchal@cy-tech.fr;30;15.695;CS;1;8
Guillou;Marc;MarcGuillou@cy-tech.fr;30;15.646;BI;1;13
Masson;Benjamin;BenjaminMasson@cy-tech.fr;30;15.623;IAC;1;30
Bonnet;Georges;GeorgesBonnet@cy-tech.fr;30;15.575;INEM;1;3
Foucher;Jérôme;JérômeFoucher@cy-tech.fr;30;15.568;ICC;1;3
Faure;Emmanuelle;EmmanuelleFaure@cy-tech.fr;30;15.567;IAC;1;31
Louis;David;DavidLouis@cy-tech.fr;30;15.55;CS;1;9
Rocher;Andrée;AndréeRocher@cy-tech.fr;30;15.535;IAC;1;32
Guerin;Gérard;GérardGuerin@cy-tech.fr;30;15.527;IAP;1;19
Bailly;Caroline;CarolineBailly@cy-tech.fr;30;15.491;IAC;1;33
Lucas;Christelle;ChristelleLucas@cy-tech.fr;30;15.474;CS;1;10
Morel;Hugues;HuguesMorel@cy-tech.fr;30;15.468;VISUA;1;2
Blanc;Thibault-Charles;Thibault-CharlesBlanc@cy-tech.fr;30;15.448;CS;1;11
Allard;Étienne-Gilbert;Étienne-GilbertAllard@cy-tech.fr;30;15.348;IAP;1;20
Bernard;Zacharie;ZacharieBernard@cy-tech.fr;30;15.305;INEM;1;4
Lopez;daisy;daisyLopez@cy-tech.fr;30;15.276;ICC;1;4
Legendre;Émile-Olivier;Émile-OlivierLegendre@cy-tech.fr;30;15.221;IAC;1;34
Leclerc;Claire;ClaireLeclerc@cy-tech.fr;30;15.212;IAP;1;21
Bonnet;Raymond;RaymondBonnet@cy-tech.fr;30;15.208;CS;1;12
Leblanc;Clémence;ClémenceLeblanc@cy-tech.fr;30;15.206;CS;1;13
Marin;Gilbert;GilbertMarin@cy-tech.fr;30;15.169;IAC;1;35
Humbert-Barbe;Noémi;NoémiHumbert-Barbe@cy-tech.fr;30;15.128;CS;1;14
de;Étienne;Étiennede@cy-tech.fr;30;15.089;CS;1;15
de;Philippine;Philippinede@cy-tech.fr;30;15.056;INEM;1;5
Thibault;Juliette;JulietteThibault@cy-tech.fr;30;15.004;IAC;1;36
de;François;Françoisde@cy-tech.fr;30;14.982;VISUA;1;3
du;Léon;Léondu@cy-tech.fr;30;14.927;IAP;1;22
Alves;Maurice;MauriceAlves@cy-tech.fr;30;14.918;INEM;1;6
Blanc;Marie;MarieBlanc@cy-tech.fr;30;14.894;CS;1;16
Clement;Denise-Alexandrie;Denise-AlexandrieClement@cy-tech.fr;30;14.88;IAC;1;37
Ribeiro;Luc;LucRibeiro@cy-tech.fr;30;14.854;CS;1;17
du;Charlotte;Charlottedu@cy-tech.fr;30;14.849;CS;1;18
du;Michèle;Michèledu@cy-tech.fr;30;14.835;IAP;1;23
Maillet;Hortense;HortenseMaillet@cy-tech.fr;30;14.732;IAC;1;38
Chauveau;Françoise;FrançoiseChauveau@cy-tech.fr;30;14.724;VISUA;1;4
Le;Jeanne;JeanneLe@cy-tech.fr;30;14.689;IAC;1;39
Giraud;Louis;LouisGiraud@cy-tech.fr;30;14.683;BI;1;14
Lemaire;Hugues;HuguesLemaire@cy-tech.fr;30;14.65;CS;1;19
Roy-Perret;Yves;YvesRoy-Perret@cy-tech.fr;30;14.635;INEM;1;7
Riou;Isaac;IsaacRiou@cy-tech.fr;30;14.633;CS;1;20
Mace-Carre;Daniel;DanielMace-Carre@cy-tech.fr;30;14.632;HPDA;1;12
Normand;Laurence;LaurenceNormand@cy-tech.fr;30;14.573;IAP;1;24
Etienne;Antoine;AntoineEtienne@cy-tech.fr;30;14.559;CS;1;21
Le;Éric;ÉricLe@cy-tech.fr;30;14.557;VISUA;1;5
Rolland;Lucas;LucasRolland@cy-tech.fr;30;14.549;HPDA;1;13
Barre-Vallee;Frédérique;FrédériqueBarre-Vallee@cy-tech.fr;30;14.522;CS;1;22
Bailly;Laurence;LaurenceBailly@cy-tech.fr;30;14.516;INEM;1;8
Evrard;Noémi;NoémiEvrard@cy-tech.fr;30;14.495;IAP;1;25
Faivre;Thibault;ThibaultFaivre@cy-tech.fr;30;14.348;ICC;1;5
de;Suzanne;Suzannede@cy-tech.fr;30;14.33;IAC;1;40
Dumas;Eugène;EugèneDumas@cy-tech.fr;30;14.321;IAC;1;41
Vidal;Michelle;MichelleVidal@cy-tech.fr;30;14.318;CS;1;23
Gauthier;Augustin;AugustinGauthier@cy-tech.fr;15;14.286;INEM;1;9
Gomez;René;RenéGomez@cy-tech.fr;30;14.276;CS;1;24
Lebreton;Denise;DeniseLebreton@cy-tech.fr;30;14.272;IAC;1;42
Godard-Clerc;David;DavidGodard-Clerc@cy-tech.fr;30;14.256;IAP;1;26
Leroux;François;FrançoisLeroux@cy-tech.fr;30;14.251;IAC;1;43
Cordier;Célina;CélinaCordier@cy-tech.fr;30;14.246;ICC;1;6
Turpin;Marcelle;MarcelleTurpin@cy-tech.fr;30;14.244;CS;1;25
Guillou;Benjamin;BenjaminGuillou@cy-tech.fr;30;14.225;ICC;1;7
Renault-Jean;Lucas;LucasRenault-Jean@cy-tech.fr;30;14.207;IAC;1;44
du;Gabriel;Gabrieldu@cy-tech.fr;30;14.198;ICC;1;8
de;Anaïs;Anaïsde@cy-tech.fr;30;14.185;VISUA;1;6
Techer;Agathe;AgatheTecher@cy-tech.fr;30;14.182;CS;1;26
du;Étienne;Étiennedu@cy-tech.fr;30;14.17;CS;1;27
Richard;Andrée;AndréeRichard@cy-tech.fr;30;14.137;IAP;1;27
Chevallier;Antoinette;AntoinetteChevallier@cy-tech.fr;30;14.125;CS;1;28
Le;Alphonse;AlphonseLe@cy-tech.fr;30;14.121;BI;1;15
Maillard;Lucas;LucasMaillard@cy-tech.fr;30;13.923;BI;1;16
Leleu;André;AndréLeleu@cy-tech.fr;30;13.798;CS;1;29
Riou;Emmanuel;EmmanuelRiou@cy-tech.fr;30;13.785;CS;1;30
Lesage;David;DavidLesage@cy-tech.fr;30;13.775;VISUA;1;7
Dubois;Grégoire;GrégoireDubois@cy-tech.fr;30;13.753;CS;1;31
Leclercq;Paulette;PauletteLeclercq@cy-tech.fr;30;13.729;ICC;1;9
Faure;Thierry;ThierryFaure@cy-tech.fr;30;13.724;IAP;1;28
Boyer;Pierre;PierreBoyer@cy-tech.fr;30;13.718;INEM;1;10
Benard-Charpentier;Éric;ÉricBenard-Charpentier@cy-tech.fr;30;13.689;IAC;1;45
Le;Luce;LuceLe@cy-tech.fr;15;13.628;ICC;1;10
Gauthier-Martineau;Marcelle;MarcelleGauthier-Martineau@cy-tech.fr;30;13.572;ICC;1;11
Lecomte;Monique;MoniqueLecomte@cy-tech.fr;15;13.528;BI;1;17
Delmas;Christiane;ChristianeDelmas@cy-tech.fr;30;13.454;CS;1;32
Cousin;Corinne;CorinneCousin@cy-tech.fr;30;13.436;CS;1;33
du;William;Williamdu@cy-tech.fr;30;13.426;BI;1;18
Maurice;Renée;RenéeMaurice@cy-tech.fr;30;13.418;INEM;1;11
Poulain;Jeanne;JeannePoulain@cy-tech.fr;30;13.411;BI;1;19
Weber;Zacharie;ZacharieWeber@cy-tech.fr;30;13.371;ICC;1;12
Rousseau;Louis;LouisRousseau@cy-tech.fr;30;13.354;VISUA;1;8
Hamel;Philippe;PhilippeHamel@cy-tech.fr;30;13.291;ICC;1;13
Mercier;Élise;ÉliseMercier@cy-tech.fr;30;13.287;HPDA;1;14
Chauvet;Bernard;BernardChauvet@cy-tech.fr;30;13.278;IAP;1;29
Pasquier;Théodore;ThéodorePasquier@cy-tech.fr;30;13.274;CS;1;34
Begue;Adèle;AdèleBegue@cy-tech.fr;30;13.236;IAC;1;46
Dumont;Adrien;AdrienDumont@cy-tech.fr;30;13.209;INEM;1;12
Ferrand-Texier;Gilbert;GilbertFerrand-Texier@cy-tech.fr;30;13.16;CS;1;35
Rocher;Anastasie;AnastasieRocher@cy-tech.fr;30;13.151;IAP;1;30
Le;Franck;FranckLe@cy-tech.fr;30;13.115;ICC;1;14
Renault;Michel;MichelRenault@cy-tech.fr;30;13.111;HPDA;1;15
Wagner;Margaud-Laure;Margaud-LaureWagner@cy-tech.fr;30;13.095;ICC;1;15
de;Suzanne;Suzannede@cy-tech.fr;30;13.063;CS;1;36
Dufour;Gérard;GérardDufour@cy-tech.fr;15;13.036;BI;1;20
Ferrand;David;DavidFerrand@cy-tech.fr;30;13.017;CS;1;37
Duhamel;François;FrançoisDuhamel@cy-tech.fr;30;13.014;CS;1;38
Blot-Barbier;Franck;FranckBlot-Barbier@cy-tech.fr;30;12.99;CS;1;39
Martins;Benjamin;BenjaminMartins@cy-tech.fr;30;12.989;IAC;1;47
du;Hugues;Huguesdu@cy-tech.fr;30;12.979;IAP;1;31
Pons-Alves;Joséphine;JoséphinePons-Alves@cy-tech.fr;30;12.961;IAC;1;48
Andre;William;WilliamAndre@cy-tech.fr;15;12.897;BI;1;21
Martin;Diane;DianeMartin@cy-tech.fr;30;12.893;ICC;1;16
Fournier;Auguste;AugusteFournier@cy-tech.fr;30;12.886;IAC;1;49
Louis;Théodore;ThéodoreLouis@cy-tech.fr;30;12.877;IAC;1;50
Joubert;Chantal;ChantalJoubert@cy-tech.fr;30;12.875;INEM;1;13
Bouvet;Inès;InèsBouvet@cy-tech.fr;30;12.822;IAC;1;51
Le;Sylvie;SylvieLe@cy-tech.fr;30;12.802;CS;1;40
Ollivier;Anouk-Pénélope;Anouk-PénélopeOllivier@cy-tech.fr;30;12.756;INEM;1;14
Evrard;Olivie;OlivieEvrard@cy-tech.fr;30;12.689;INEM;1;15
Thomas;François;FrançoisThomas@cy-tech.fr;30;12.628;BI;1;22
Roche;Augustin;AugustinRoche@cy-tech.fr;30;12.601;VISUA;1;9
Blanchet;Gabriel;GabrielBlanchet@cy-tech.fr;15;12.597;BI;1;23
Boulanger;Stéphane;StéphaneBoulanger@cy-tech.fr;15;12.471;CS;1;41
du;Marcelle;Marcelledu@cy-tech.fr;30;12.394;IAC;1;52
Bouvier;André;AndréBouvier@cy-tech.fr;30;12.333;BI;1;24
Loiseau;Antoine;AntoineLoiseau@cy-tech.fr;30;12.307;IAC;1;53
Pottier;Jérôme;JérômePottier@cy-tech.fr;30;12.294;CS;1;42
Lesage;Julie;JulieLesage@cy-tech.fr;30;12.279;VISUA;1;10
Guibert;Jacques;JacquesGuibert@cy-tech.fr;30;12.247;IAP;1;32
Loiseau;Alfred;AlfredLoiseau@cy-tech.fr;15;12.233;IAC;1;54
Albert;Paulette-Valérie;Paulette-ValérieAlbert@cy-tech.fr;30;12.222;ICC;1;17
Le;Brigitte;BrigitteLe@cy-tech.fr;15;12.217;VISUA;1;11
Lefort-Letellier;Antoine;AntoineLefort-Letellier@cy-tech.fr;30;12.126;INEM;1;16
Guillot;Alice;AliceGuillot@cy-tech.fr;15;12.06;CS;1;43
de;Josette;Josettede@cy-tech.fr;30;11.888;CS;1;44
Deschamps;Pénélope;PénélopeDeschamps@cy-tech.fr;30;11.881;IAC;1;55
Maillot-Guyot;Frédérique;FrédériqueMaillot-Guyot@cy-tech.fr;15;11.851;BI;1;25
Le;Lucy;LucyLe@cy-tech.fr;15;11.79;CS;1;45
Charpentier-Leroux;Madeleine;MadeleineCharpentier-Leroux@cy-tech.fr;15;11.763;IAC;1;56
Meyer;Thérèse;ThérèseMeyer@cy-tech.fr;30;11.74;CS;1;46
Guyot;Marcel;MarcelGuyot@cy-tech.fr;30;11.629;CS;1;47
du;Emmanuel;Emmanueldu@cy-tech.fr;15;11.617;IAC;1;57
de;Bernard;Bernardde@cy-tech.fr;15;11.602;CS;1;48
Bernard;Daniel;DanielBernard@cy-tech.fr;30;11.59;IAP;1;33
Auger;Céline;CélineAuger@cy-tech.fr;15;11.535;IAC;1;58
Picard;Auguste;AugustePicard@cy-tech.fr;15;11.53;IAP;1;34
Allain;Augustin;AugustinAllain@cy-tech.fr;15;11.513;CS;1;49
Deschamps;Gilbert;GilbertDeschamps@cy-tech.fr;15;11.51;HPDA;2;16
Pichon;Aurore;AurorePichon@cy-tech.fr;15;11.41;CS;1;50
Bruneau;Danielle-Joséphine;Danielle-JoséphineBruneau@cy-tech.fr;15;11.389;CS;1;51
Nguyen;Océane;OcéaneNguyen@cy-tech.fr;15;11.37;CS;1;52
Fernandez;Julie;JulieFernandez@cy-tech.fr;30;11.349;ICC;1;18
Perret;Alexandre;AlexandrePerret@cy-tech.fr;15;11.305;HPDA;1;17
Blondel;Élisabeth;ÉlisabethBlondel@cy-tech.fr;15;11.261;IAC;2;59
Lesage;Hugues;HuguesLesage@cy-tech.fr;30;11.169;INEM;1;17
Guibert-Huet;Zoé;ZoéGuibert-Huet@cy-tech.fr;30;11.063;INEM;1;18
Tanguy;Henriette-Marthe;Henriette-MartheTanguy@cy-tech.fr;15;10.95;CS;1;53
Vasseur;Gabrielle;GabrielleVasseur@cy-tech.fr;15;10.902;INEM;1;19
Mary;Pierre;PierreMary@cy-tech.fr;15;10.831;VISUA;1;12
Guibert;Michelle;MichelleGuibert@cy-tech.fr;15;10.758;VISUA;1;13
Morin;Patrick;PatrickMorin@cy-tech.fr;15;10.731;BI;1;26
Guillon;Daniel;DanielGuillon@cy-tech.fr;15;10.726;BI;1;27
Gimenez;Claude;ClaudeGimenez@cy-tech.fr;15;10.602;CS;1;54
Hubert;Victor;VictorHubert@cy-tech.fr;15;10.576;CS;1;55
Fischer;Astrid;AstridFischer@cy-tech.fr;15;10.427;CS;1;56
de;Marguerite;Margueritede@cy-tech.fr;15;10.367;IAC;1;60
Vasseur;Victor;VictorVasseur@cy-tech.fr;15;10.337;VISUA;1;14
Bonnet;Simone-Gabrielle;Simone-GabrielleBonnet@cy-tech.fr;15;10.301;HPDA;1;18
Menard;Adrien-Xavier;Adrien-XavierMenard@cy-tech.fr;15;10.291;ICC;1;19
Carlier;Marcel;MarcelCarlier@cy-tech.fr;15;10.29;INEM;1;20
Muller;Zacharie;ZacharieMuller@cy-tech.fr;15;10.147;VISUA;1;15
Mendes;Andrée;AndréeMendes@cy-tech.fr;15;10.068;VISUA;1;16
David-Rey;Augustin;AugustinDavid-Rey@cy-tech.fr;15;9.891;CS;1;57
De;Philippe;PhilippeDe@cy-tech.fr;15;9.523;BI;1;28
Rousset;Éric;ÉricRousset@cy-tech.fr;15;9.459;CS;1;58
Albert;Dorothée;DorothéeAlbert@cy-tech.fr;15;9.291;CS;1;59
Mallet;Christophe-Honoré;Christophe-HonoréMallet@cy-tech.fr;15;9.255;BI;1;29
Leconte;Édouard;ÉdouardLeconte@cy-tech.fr;15;9.007;IAC;1;61
Clerc-Maillard;Auguste;AugusteClerc-Maillard@cy-tech.fr;15;8.952;HPDA;1;19
Maillard;Léon;LéonMaillard@cy-tech.fr;15;8.768;VISUA;1;17
Coulon;Raymond-Édouard;Raymond-ÉdouardCoulon@cy-tech.fr;15;1.475;CS;1;60
Gauthier;Océane;OcéaneGauthier@cy-tech.fr;0;0;HPDA;2;20
