prenom;nom;login;ECTS acquis;Moyenne;Choix 1;Choix 2;Choix 3;Choix 4;Choix 5;Choix 6;Choix 7;Choix 8
Jeannine;Lemaitre;JeannineLemaitre@cy-tech.fr;30;16,114;CS ;IAC ;IAP ;BI ;HPDA ;INEM ;VISUA ;ICC
Joséphine;Humbert;JoséphineHumbert@cy-tech.fr;30;16,066;ICC ;IAP ;HPDA ;CS ;INEM ;VISUA ;IAC ;BI
Benoît;Lenoir;BenoîtLenoir@cy-tech.fr;30;16,06;IAC ;VISUA ;CS ;BI ;INEM ;IAP ;HPDA ;ICC
Pénélope;Marty;PénélopeMarty@cy-tech.fr;30;16,038;IAC ;VISUA ;CS ;ICC ;INEM ;BI ;IAP ;HPDA
Alfred;Ramos;AlfredRamos@cy-tech.fr;30;15,958;CS ;IAC ;ICC ;INEM ;BI ;IAP ;HPDA ;VISUA
Philippine;Normand;PhilippineNormand@cy-tech.fr;30;15,873;CS ;IAC ;IAP ;VISUA ;HPDA ;INEM ;BI ;ICC
Luc;Dufour-Gallet;LucDufour-Gallet@cy-tech.fr;30;15,779;HPDA ;IAC ;IAP ;ICC ;CS ;VISUA ;BI ;INEM
Corinne;Gros;CorinneGros@cy-tech.fr;30;15,758;IAC ;VISUA ;BI ;INEM ;CS ;IAP ;HPDA ;ICC
Isabelle;Dijoux;IsabelleDijoux@cy-tech.fr;30;15,746;CS ;ICC ;IAC ;INEM ;HPDA ;IAP ;VISUA ;BI
Dominique;Gaillard;DominiqueGaillard@cy-tech.fr;30;15,715;IAC ;CS ;VISUA ;IAP ;INEM ;BI ;ICC ;HPDA
Pénélope;Ribeiro;PénélopeRibeiro@cy-tech.fr;30;15,709;VISUA ;BI ;IAC ;CS ;INEM ;ICC ;IAP ;HPDA
Zacharie;Marchal;ZacharieMarchal@cy-tech.fr;30;15,695;CS ;INEM ;ICC ;VISUA ;IAP ;IAC ;HPDA ;BI
Marc;Guillou;MarcGuillou@cy-tech.fr;30;15,646;BI ;IAC ;CS ;IAP ;HPDA ;ICC ;VISUA ;INEM
Benjamin;Masson;BenjaminMasson@cy-tech.fr;30;15,623;IAC ;IAP ;CS ;BI ;INEM ;VISUA ;ICC ;HPDA
Georges;Bonnet;GeorgesBonnet@cy-tech.fr;30;15,575;INEM ;IAP ;IAC ;CS ;HPDA ;BI ;ICC ;VISUA
Jérôme;Foucher;JérômeFoucher@cy-tech.fr;30;15,568;ICC ;IAP ;INEM ;VISUA ;IAC ;CS ;HPDA ;BI
Emmanuelle;Faure;EmmanuelleFaure@cy-tech.fr;30;15,567;IAC ;CS ;VISUA ;INEM ;BI ;IAP ;ICC ;HPDA
David;Louis;DavidLouis@cy-tech.fr;30;15,55;CS ;IAC ;VISUA ;INEM ;ICC ;HPDA ;BI ;IAP
Andrée;Rocher;AndréeRocher@cy-tech.fr;30;15,535;IAC ;CS ;IAP ;VISUA ;INEM ;HPDA ;ICC ;BI
Gérard;Guerin;GérardGuerin@cy-tech.fr;30;15,527;IAP ;HPDA ;IAC ;ICC ;INEM ;VISUA ;CS ;BI
Caroline;Bailly;CarolineBailly@cy-tech.fr;30;15,491;IAC ;BI ;VISUA ;INEM ;IAP ;HPDA ;ICC ;CS
Christelle;Lucas;ChristelleLucas@cy-tech.fr;30;15,474;CS ;ICC ;BI ;INEM ;IAC ;IAP ;VISUA ;HPDA
Hugues;Morel;HuguesMorel@cy-tech.fr;30;15,468;VISUA ;ICC ;IAP ;CS ;INEM ;IAC ;HPDA ;BI
Thibault-Charles;Blanc;Thibault-CharlesBlanc@cy-tech.fr;30;15,448;CS ;IAC ;BI ;INEM ;IAP ;VISUA ;ICC ;HPDA
Étienne-Gilbert;Allard;Étienne-GilbertAllard@cy-tech.fr;30;15,348;IAP ;IAC ;ICC ;VISUA ;INEM ;CS ;HPDA ;BI
Zacharie;Bernard;ZacharieBernard@cy-tech.fr;30;15,305;INEM ;ICC ;CS ;IAP ;HPDA ;IAC ;BI ;VISUA
daisy;Lopez;daisyLopez@cy-tech.fr;30;15,276;ICC ;IAP ;HPDA ;CS ;IAC ;INEM ;VISUA ;BI
Émile-Olivier;Legendre;Émile-OlivierLegendre@cy-tech.fr;30;15,221;IAC ;IAP ;BI ;INEM ;VISUA ;HPDA ;CS ;ICC
Claire;Leclerc;ClaireLeclerc@cy-tech.fr;30;15,212;IAP ;ICC ;IAC ;CS ;INEM ;VISUA ;BI ;HPDA
Raymond;Bonnet;RaymondBonnet@cy-tech.fr;30;15,208;CS ;ICC ;IAP ;INEM ;IAC ;VISUA ;BI ;HPDA
Clémence;Leblanc;ClémenceLeblanc@cy-tech.fr;30;15,206;CS ;BI ;IAC ;ICC ;INEM ;VISUA ;IAP ;HPDA
Gilbert;Marin;GilbertMarin@cy-tech.fr;30;15,169;IAC ;CS ;VISUA ;BI ;INEM ;IAP ;ICC ;HPDA
Noémi;Humbert-Barbe;NoémiHumbert-Barbe@cy-tech.fr;30;15,128;CS ;BI ;IAC ;HPDA ;VISUA ;INEM ;IAP ;ICC
Étienne;de;Étiennede@cy-tech.fr;30;15,089;CS ;INEM ;HPDA ;VISUA ;IAC ;ICC ;BI ;IAP
Philippine;de;Philippinede@cy-tech.fr;30;15,056;INEM ;VISUA ;CS ;ICC ;IAP ;IAC ;BI ;HPDA
Juliette;Thibault;JulietteThibault@cy-tech.fr;30;15,004;IAC ;IAP ;VISUA ;CS ;INEM ;HPDA ;ICC ;BI
François;de;Françoisde@cy-tech.fr;30;14,982;VISUA ;ICC ;IAP ;INEM ;IAC ;CS ;BI ;HPDA
Léon;du;Léondu@cy-tech.fr;30;14,927;IAP ;IAC ;ICC ;HPDA ;INEM ;VISUA ;BI ;CS
Maurice;Alves;MauriceAlves@cy-tech.fr;30;14,918;INEM ;VISUA ;IAC ;CS ;HPDA ;BI ;IAP ;ICC
Marie;Blanc;MarieBlanc@cy-tech.fr;30;14,894;CS ;IAC ;INEM ;BI ;ICC ;IAP ;HPDA ;VISUA
Denise-Alexandrie;Clement;Denise-AlexandrieClement@cy-tech.fr;30;14,88;IAC ;IAP ;CS ;BI ;HPDA ;INEM ;ICC ;VISUA
Luc;Ribeiro;LucRibeiro@cy-tech.fr;30;14,854;CS ;INEM ;VISUA ;IAC ;ICC ;IAP ;HPDA ;BI
Charlotte;du;Charlottedu@cy-tech.fr;30;14,849;CS ;IAC ;VISUA ;INEM ;BI ;ICC ;IAP ;HPDA
Michèle;du;Michèledu@cy-tech.fr;30;14,835;IAP ;HPDA ;ICC ;IAC ;INEM ;CS ;VISUA ;BI
Hortense;Maillet;HortenseMaillet@cy-tech.fr;30;14,732;IAC ;CS ;VISUA ;BI ;IAP ;ICC ;HPDA ;INEM
Françoise;Chauveau;FrançoiseChauveau@cy-tech.fr;30;14,724;VISUA ;INEM ;IAP ;IAC ;CS ;HPDA ;ICC ;BI
Jeanne;Le;JeanneLe@cy-tech.fr;30;14,689;IAC ;CS ;INEM ;IAP ;BI ;HPDA ;ICC ;VISUA
Louis;Giraud;LouisGiraud@cy-tech.fr;30;14,683;BI ;INEM ;IAC ;CS ;VISUA ;HPDA ;IAP ;ICC
Hugues;Lemaire;HuguesLemaire@cy-tech.fr;30;14,65;CS ;ICC ;INEM ;IAC ;VISUA ;BI ;IAP ;HPDA
Yves;Roy-Perret;YvesRoy-Perret@cy-tech.fr;30;14,635;INEM ;CS ;IAC ;BI ;VISUA ;IAP ;ICC ;HPDA
Isaac;Riou;IsaacRiou@cy-tech.fr;30;14,633;CS ;IAC ;INEM ;BI ;VISUA ;ICC ;IAP ;HPDA
Daniel;Mace-Carre;DanielMace-Carre@cy-tech.fr;30;14,632;HPDA ;IAC ;VISUA ;IAP ;CS ;INEM ;ICC ;BI
Laurence;Normand;LaurenceNormand@cy-tech.fr;30;14,573;IAP ;HPDA ;ICC ;IAC ;BI ;VISUA ;CS ;INEM
Antoine;Etienne;AntoineEtienne@cy-tech.fr;30;14,559;CS ;INEM ;VISUA ;BI ;IAC ;HPDA ;ICC ;IAP
Éric;Le;ÉricLe@cy-tech.fr;30;14,557;VISUA ;INEM ;IAP ;CS ;IAC ;ICC ;HPDA ;BI
Lucas;Rolland;LucasRolland@cy-tech.fr;30;14,549;HPDA ;IAP ;IAC ;BI ;VISUA ;CS ;ICC ;INEM
Frédérique;Barre-Vallee;FrédériqueBarre-Vallee@cy-tech.fr;30;14,522;CS ;IAC ;BI ;VISUA ;INEM ;IAP ;HPDA ;ICC
Laurence;Bailly;LaurenceBailly@cy-tech.fr;30;14,516;INEM ;IAP ;IAC ;ICC ;CS ;VISUA ;BI ;HPDA
Noémi;Evrard;NoémiEvrard@cy-tech.fr;30;14,495;IAP ;ICC ;HPDA ;IAC ;BI ;CS ;INEM ;VISUA
Thibault;Faivre;ThibaultFaivre@cy-tech.fr;30;14,348;ICC ;IAP ;HPDA ;IAC ;CS ;BI ;VISUA ;INEM
Suzanne;de;Suzannede@cy-tech.fr;30;14,33;IAC ;IAP ;VISUA ;CS ;HPDA ;INEM ;ICC ;BI
Eugène;Dumas;EugèneDumas@cy-tech.fr;30;14,321;IAC ;BI ;CS ;VISUA ;INEM ;IAP ;ICC ;HPDA
Michelle;Vidal;MichelleVidal@cy-tech.fr;30;14,318;CS ;ICC ;VISUA ;INEM ;BI ;IAC ;IAP ;HPDA
René;Gomez;RenéGomez@cy-tech.fr;30;14,276;CS ;IAC ;BI ;INEM ;IAP ;ICC ;HPDA ;VISUA
Denise;Lebreton;DeniseLebreton@cy-tech.fr;30;14,272;IAC ;VISUA ;CS ;INEM ;BI ;IAP ;HPDA ;ICC
David;Godard-Clerc;DavidGodard-Clerc@cy-tech.fr;30;14,256;IAP ;ICC ;IAC ;INEM ;VISUA ;CS ;BI ;HPDA
François;Leroux;FrançoisLeroux@cy-tech.fr;30;14,251;IAC ;IAP ;CS ;BI ;ICC ;HPDA ;INEM ;VISUA
Célina;Cordier;CélinaCordier@cy-tech.fr;30;14,246;ICC ;CS ;IAP ;IAC ;BI ;VISUA ;INEM ;HPDA
Marcelle;Turpin;MarcelleTurpin@cy-tech.fr;30;14,244;CS ;IAC ;INEM ;ICC ;IAP ;BI ;HPDA ;VISUA
Benjamin;Guillou;BenjaminGuillou@cy-tech.fr;30;14,225;ICC ;INEM ;CS ;IAP ;IAC ;VISUA ;BI ;HPDA
Lucas;Renault-Jean;LucasRenault-Jean@cy-tech.fr;30;14,207;IAC ;BI ;ICC ;CS ;VISUA ;IAP ;INEM ;HPDA
Gabriel;du;Gabrieldu@cy-tech.fr;30;14,198;ICC ;IAP ;HPDA ;CS ;IAC ;VISUA ;INEM ;BI
Anaïs;de;Anaïsde@cy-tech.fr;30;14,185;VISUA ;CS ;INEM ;IAC ;BI ;ICC ;HPDA ;IAP
Agathe;Techer;AgatheTecher@cy-tech.fr;30;14,182;CS ;IAC ;BI ;ICC ;INEM ;VISUA ;IAP ;HPDA
Étienne;du;Étiennedu@cy-tech.fr;30;14,17;CS ;IAC ;INEM ;VISUA ;BI ;ICC ;IAP ;HPDA
Andrée;Richard;AndréeRichard@cy-tech.fr;30;14,137;IAP ;CS ;IAC ;HPDA ;INEM ;ICC ;BI ;VISUA
Antoinette;Chevallier;AntoinetteChevallier@cy-tech.fr;30;14,125;CS ;INEM ;BI ;IAC ;VISUA ;IAP ;HPDA ;ICC
Alphonse;Le;AlphonseLe@cy-tech.fr;30;14,121;BI ;IAC ;CS ;VISUA ;HPDA ;IAP ;ICC ;INEM
Lucas;Maillard;LucasMaillard@cy-tech.fr;30;13,923;BI ;INEM ;CS ;IAC ;VISUA ;IAP ;ICC ;HPDA
André;Leleu;AndréLeleu@cy-tech.fr;30;13,798;CS ;INEM ;IAC ;ICC ;BI ;VISUA ;IAP ;HPDA
Emmanuel;Riou;EmmanuelRiou@cy-tech.fr;30;13,785;CS ;IAC ;VISUA ;INEM ;BI ;IAP ;ICC ;HPDA
David;Lesage;DavidLesage@cy-tech.fr;30;13,775;VISUA ;CS ;IAC ;ICC ;INEM ;IAP ;BI ;HPDA
Grégoire;Dubois;GrégoireDubois@cy-tech.fr;30;13,753;CS ;VISUA ;INEM ;IAC ;ICC ;BI ;IAP ;HPDA
Paulette;Leclercq;PauletteLeclercq@cy-tech.fr;30;13,729;ICC ;IAP ;IAC ;VISUA ;INEM ;CS ;BI ;HPDA
Thierry;Faure;ThierryFaure@cy-tech.fr;30;13,724;IAP ;HPDA ;BI ;ICC ;IAC ;VISUA ;INEM ;CS
Pierre;Boyer;PierreBoyer@cy-tech.fr;30;13,718;INEM ;CS ;IAC ;VISUA ;IAP ;BI ;ICC ;HPDA
Éric;Benard-Charpentier;ÉricBenard-Charpentier@cy-tech.fr;30;13,689;IAC ;CS ;ICC ;IAP ;VISUA ;INEM ;BI ;HPDA
Marcelle;Gauthier-Martineau;MarcelleGauthier-Martineau@cy-tech.fr;30;13,572;ICC ;INEM ;IAP ;CS ;IAC ;VISUA ;BI ;HPDA
Christiane;Delmas;ChristianeDelmas@cy-tech.fr;30;13,454;CS ;IAC ;INEM ;VISUA ;ICC ;BI ;IAP ;HPDA
Corinne;Cousin;CorinneCousin@cy-tech.fr;30;13,436;CS ;ICC ;IAP ;IAC ;INEM ;HPDA ;BI ;VISUA
William;du;Williamdu@cy-tech.fr;30;13,426;BI ;INEM ;CS ;VISUA ;IAC ;IAP ;HPDA ;ICC
Renée;Maurice;RenéeMaurice@cy-tech.fr;30;13,418;INEM ;IAP ;IAC ;VISUA ;CS ;HPDA ;ICC ;BI
Zacharie;Weber;ZacharieWeber@cy-tech.fr;30;13,371;ICC ;CS ;IAP ;HPDA ;INEM ;BI ;IAC ;VISUA
Louis;Rousseau;LouisRousseau@cy-tech.fr;30;13,354;VISUA ;INEM ;IAC ;BI ;CS ;IAP ;ICC ;HPDA
Philippe;Hamel;PhilippeHamel@cy-tech.fr;30;13,291;ICC ;IAP ;CS ;IAC ;VISUA ;HPDA ;INEM ;BI
Élise;Mercier;ÉliseMercier@cy-tech.fr;30;13,287;HPDA ;IAC ;IAP ;CS ;VISUA ;INEM ;ICC ;BI
Bernard;Chauvet;BernardChauvet@cy-tech.fr;30;13,278;IAP ;IAC ;ICC ;INEM ;CS ;VISUA ;HPDA ;BI
Théodore;Pasquier;ThéodorePasquier@cy-tech.fr;30;13,274;CS ;IAC ;VISUA ;IAP ;ICC ;HPDA ;BI ;INEM
Adèle;Begue;AdèleBegue@cy-tech.fr;30;13,236;IAC ;BI ;INEM ;IAP ;HPDA ;CS ;VISUA ;ICC
Adrien;Dumont;AdrienDumont@cy-tech.fr;30;13,209;INEM ;CS ;VISUA ;ICC ;IAP ;IAC ;HPDA ;BI
Gilbert;Ferrand-Texier;GilbertFerrand-Texier@cy-tech.fr;30;13,16;CS ;ICC ;IAP ;IAC ;INEM ;VISUA ;BI ;HPDA
Anastasie;Rocher;AnastasieRocher@cy-tech.fr;30;13,151;IAP ;ICC ;HPDA ;IAC ;BI ;CS ;INEM ;VISUA
Franck;Le;FranckLe@cy-tech.fr;30;13,115;ICC ;IAP ;CS ;IAC ;INEM ;HPDA ;BI ;VISUA
Michel;Renault;MichelRenault@cy-tech.fr;30;13,111;HPDA ;IAP ;IAC ;CS ;ICC ;BI ;INEM ;VISUA
Margaud-Laure;Wagner;Margaud-LaureWagner@cy-tech.fr;30;13,095;ICC ;INEM ;IAP ;HPDA ;IAC ;VISUA ;CS ;BI
Suzanne;de;Suzannede@cy-tech.fr;30;13,063;CS ;IAC ;INEM ;BI ;VISUA ;IAP ;ICC ;HPDA
David;Ferrand;DavidFerrand@cy-tech.fr;30;13,017;CS ;INEM ;BI ;ICC ;IAC ;IAP ;HPDA ;VISUA
François;Duhamel;FrançoisDuhamel@cy-tech.fr;30;13,014;CS ;ICC ;IAP ;VISUA ;INEM ;IAC ;BI ;HPDA
Franck;Blot-Barbier;FranckBlot-Barbier@cy-tech.fr;30;12,99;CS ;IAC ;VISUA ;IAP ;ICC ;HPDA ;INEM ;BI
Benjamin;Martins;BenjaminMartins@cy-tech.fr;30;12,989;IAC ;IAP ;VISUA ;CS ;INEM ;HPDA ;ICC ;BI
Hugues;du;Huguesdu@cy-tech.fr;30;12,979;IAP ;HPDA ;IAC ;ICC ;CS ;INEM ;VISUA ;BI
Joséphine;Pons-Alves;JoséphinePons-Alves@cy-tech.fr;30;12,961;IAC ;VISUA ;CS ;ICC ;BI ;INEM ;IAP ;HPDA
Diane;Martin;DianeMartin@cy-tech.fr;30;12,893;ICC ;CS ;INEM ;VISUA ;HPDA ;BI ;IAP ;IAC
Auguste;Fournier;AugusteFournier@cy-tech.fr;30;12,886;IAC ;VISUA ;BI ;HPDA ;ICC ;IAP ;INEM ;CS
Théodore;Louis;ThéodoreLouis@cy-tech.fr;30;12,877;IAC ;IAP ;CS ;VISUA ;HPDA ;ICC ;BI ;INEM
Chantal;Joubert;ChantalJoubert@cy-tech.fr;30;12,875;INEM ;IAC ;VISUA ;CS ;IAP ;ICC ;BI ;HPDA
Inès;Bouvet;InèsBouvet@cy-tech.fr;30;12,822;IAC ;INEM ;VISUA ;CS ;IAP ;HPDA ;BI ;ICC
Sylvie;Le;SylvieLe@cy-tech.fr;30;12,802;CS ;IAC ;INEM ;VISUA ;BI ;IAP ;HPDA ;ICC
Anouk-Pénélope;Ollivier;Anouk-PénélopeOllivier@cy-tech.fr;30;12,756;INEM ;CS ;IAC ;VISUA ;BI ;IAP ;ICC ;HPDA
Olivie;Evrard;OlivieEvrard@cy-tech.fr;30;12,689;INEM ;CS ;IAC ;VISUA ;BI ;IAP ;ICC ;HPDA
Augustin;Roche;AugustinRoche@cy-tech.fr;30;12,601;VISUA ;CS ;IAC ;INEM ;HPDA ;IAP ;ICC ;BI
Marcelle;du;Marcelledu@cy-tech.fr;30;12,394;IAC ;CS ;IAP ;BI ;ICC ;HPDA ;INEM ;VISUA
Antoine;Loiseau;AntoineLoiseau@cy-tech.fr;30;12,307;IAC ;BI ;VISUA ;ICC ;INEM ;CS ;HPDA ;IAP
Jérôme;Pottier;JérômePottier@cy-tech.fr;30;12,294;CS ;BI ;IAC ;HPDA ;ICC ;INEM ;VISUA ;IAP
Julie;Lesage;JulieLesage@cy-tech.fr;30;12,279;VISUA ;INEM ;IAC ;CS ;IAP ;BI ;HPDA ;ICC
Jacques;Guibert;JacquesGuibert@cy-tech.fr;30;12,247;IAP ;IAC ;VISUA ;INEM ;HPDA ;ICC ;CS ;BI
Paulette-Valérie;Albert;Paulette-ValérieAlbert@cy-tech.fr;30;12,222;ICC ;IAP ;HPDA ;CS ;IAC ;INEM ;BI ;VISUA
Antoine;Lefort-Letellier;AntoineLefort-Letellier@cy-tech.fr;30;12,126;INEM ;CS ;IAP ;IAC ;BI ;HPDA ;ICC ;VISUA
Josette;de;Josettede@cy-tech.fr;30;11,888;CS ;BI ;IAC ;INEM ;VISUA ;HPDA ;IAP ;ICC
Pénélope;Deschamps;PénélopeDeschamps@cy-tech.fr;30;11,881;IAC ;IAP ;HPDA ;CS ;ICC ;VISUA ;INEM ;BI
Thérèse;Meyer;ThérèseMeyer@cy-tech.fr;30;11,74;CS ;INEM ;IAC ;ICC ;IAP ;VISUA ;BI ;HPDA
Marcel;Guyot;MarcelGuyot@cy-tech.fr;30;11,629;CS ;INEM ;IAC ;IAP ;HPDA ;ICC ;BI ;VISUA
Daniel;Bernard;DanielBernard@cy-tech.fr;30;11,59;IAP ;ICC ;VISUA ;BI ;IAC ;CS ;INEM ;HPDA
Julie;Fernandez;JulieFernandez@cy-tech.fr;30;11,349;ICC ;CS ;HPDA ;IAP ;IAC ;INEM ;VISUA ;BI
Hugues;Lesage;HuguesLesage@cy-tech.fr;30;11,169;INEM ;IAC ;CS ;IAP ;ICC ;VISUA ;BI ;HPDA
Zoé;Guibert-Huet;ZoéGuibert-Huet@cy-tech.fr;30;11,063;INEM ;BI ;VISUA ;CS ;ICC ;HPDA ;IAC ;IAP
Augustin;Gauthier;AugustinGauthier@cy-tech.fr;15;14,286;INEM ;CS ;VISUA ;IAP ;IAC ;ICC ;BI ;HPDA
Luce;Le;LuceLe@cy-tech.fr;15;13,628;ICC ;INEM ;CS ;BI ;VISUA ;IAP ;IAC ;HPDA
Stéphane;Boulanger;StéphaneBoulanger@cy-tech.fr;15;12,471;CS ;INEM ;ICC ;IAP ;IAC ;HPDA ;BI ;VISUA
Alfred;Loiseau;AlfredLoiseau@cy-tech.fr;15;12,233;IAC ;CS ;HPDA ;VISUA ;BI ;INEM ;IAP ;ICC
Brigitte;Le;BrigitteLe@cy-tech.fr;15;12,217;VISUA ;CS ;IAC ;INEM ;BI ;IAP ;ICC ;HPDA
Alice;Guillot;AliceGuillot@cy-tech.fr;15;12,06;CS ;VISUA ;INEM ;IAC ;IAP ;BI ;ICC ;HPDA
Lucy;Le;LucyLe@cy-tech.fr;15;11,79;CS ;IAC ;BI ;INEM ;IAP ;ICC ;VISUA ;HPDA
Madeleine;Charpentier-Leroux;MadeleineCharpentier-Leroux@cy-tech.fr;15;11,763;IAC ;CS ;BI ;VISUA ;INEM ;HPDA ;IAP ;ICC
Emmanuel;du;Emmanueldu@cy-tech.fr;15;11,617;IAC ;BI ;HPDA ;IAP ;VISUA ;CS ;INEM ;ICC
Bernard;de;Bernardde@cy-tech.fr;15;11,602;CS ;INEM ;BI ;IAC ;VISUA ;IAP ;ICC ;HPDA
Céline;Auger;CélineAuger@cy-tech.fr;15;11,535;IAC ;INEM ;CS ;BI ;VISUA ;HPDA ;IAP ;ICC
Auguste;Picard;AugustePicard@cy-tech.fr;15;11,53;IAP ;ICC ;IAC ;CS ;VISUA ;INEM ;HPDA ;BI
Augustin;Allain;AugustinAllain@cy-tech.fr;15;11,513;CS ;IAC ;BI ;INEM ;VISUA ;ICC ;IAP ;HPDA
Aurore;Pichon;AurorePichon@cy-tech.fr;15;11,41;CS ;ICC ;INEM ;IAC ;IAP ;VISUA ;HPDA ;BI
Danielle-Joséphine;Bruneau;Danielle-JoséphineBruneau@cy-tech.fr;15;11,389;CS ;INEM ;ICC ;VISUA ;IAP ;IAC ;HPDA ;BI
Océane;Nguyen;OcéaneNguyen@cy-tech.fr;15;11,37;CS ;HPDA ;ICC ;IAP ;INEM ;IAC ;BI ;VISUA
Alexandre;Perret;AlexandrePerret@cy-tech.fr;15;11,305;HPDA ;IAP ;IAC ;INEM ;VISUA ;CS ;ICC ;BI
Gabrielle;Vasseur;GabrielleVasseur@cy-tech.fr;15;10,902;INEM ;IAP ;IAC ;ICC ;VISUA ;CS ;BI ;HPDA
Pierre;Mary;PierreMary@cy-tech.fr;15;10,831;VISUA ;INEM ;BI ;IAC ;CS ;IAP ;HPDA ;ICC
Michelle;Guibert;MichelleGuibert@cy-tech.fr;15;10,758;VISUA ;CS ;IAC ;INEM ;BI ;IAP ;ICC ;HPDA
Marguerite;de;Margueritede@cy-tech.fr;15;10,367;IAC ;CS ;IAP ;INEM ;VISUA ;ICC ;BI ;HPDA
Victor;Vasseur;VictorVasseur@cy-tech.fr;15;10,337;VISUA ;CS ;INEM ;IAC ;BI ;ICC ;IAP ;HPDA
Simone-Gabrielle;Bonnet;Simone-GabrielleBonnet@cy-tech.fr;15;10,301;HPDA ;IAP ;ICC ;BI ;VISUA ;CS ;IAC ;INEM
Adrien-Xavier;Menard;Adrien-XavierMenard@cy-tech.fr;15;10,291;ICC ;IAC ;BI ;CS ;IAP ;HPDA ;INEM ;VISUA
Marcel;Carlier;MarcelCarlier@cy-tech.fr;15;10,29;INEM ;CS ;VISUA ;IAC ;IAP ;ICC ;BI ;HPDA
Zacharie;Muller;ZacharieMuller@cy-tech.fr;15;10,147;VISUA ;BI ;IAC ;IAP ;ICC ;INEM ;CS ;HPDA
Andrée;Mendes;AndréeMendes@cy-tech.fr;15;10,068;VISUA ;INEM ;CS ;BI ;IAC ;IAP ;HPDA ;ICC
Auguste;Clerc-Maillard;AugusteClerc-Maillard@cy-tech.fr;15;8,952;HPDA ;CS ;IAC ;BI ;IAP ;VISUA ;ICC ;INEM
Léon;Maillard;LéonMaillard@cy-tech.fr;15;8,768;VISUA ;BI ;INEM ;IAC ;CS ;IAP ;ICC ;HPDA
Jeanne;Poulain;JeannePoulain@cy-tech.fr;30;13,411;BI ;IAC ;CS ;VISUA ;INEM ;IAP ;ICC ;HPDA
François;Thomas;FrançoisThomas@cy-tech.fr;30;12,628;BI ;INEM ;VISUA ;IAC ;CS ;HPDA ;ICC ;IAP
André;Bouvier;AndréBouvier@cy-tech.fr;30;12,333;BI ;IAC ;CS ;VISUA ;INEM ;HPDA ;IAP ;ICC
Monique;Lecomte;MoniqueLecomte@cy-tech.fr;15;13,528;BI ;CS ;IAC ;VISUA ;INEM ;ICC ;HPDA ;IAP
Gérard;Dufour;GérardDufour@cy-tech.fr;15;13,036;BI ;CS ;IAC ;ICC ;VISUA ;HPDA ;INEM ;IAP
William;Andre;WilliamAndre@cy-tech.fr;15;12,897;BI ;CS ;VISUA ;IAC ;INEM ;ICC ;IAP ;HPDA
Gabriel;Blanchet;GabrielBlanchet@cy-tech.fr;15;12,597;BI ;IAC ;ICC ;CS ;HPDA ;IAP ;INEM ;VISUA
Frédérique;Maillot-Guyot;FrédériqueMaillot-Guyot@cy-tech.fr;15;11,851;BI ;INEM ;IAC ;HPDA ;IAP ;VISUA ;CS ;ICC
Gilbert;Deschamps;GilbertDeschamps@cy-tech.fr;15;11,51;IAP ;HPDA ;ICC ;IAC ;VISUA ;INEM ;CS ;BI
Élisabeth;Blondel;ÉlisabethBlondel@cy-tech.fr;15;11,261;IAP ;IAC ;VISUA ;ICC ;INEM ;CS ;HPDA ;BI
