prenom;nom;login;ECTS acquis;Moyenne;Choix 1;Choix 2
David;Colas;DavidColas@cy-tech.fr;15;9,724;ACTU;MMF
François;Colas;FrançoisColas@cy-tech.fr;15;7,319;ACTU;MMF
Christiane;Le;ChristianeLe@cy-tech.fr;15;5,961;ACTU;MMF
Anouk;Le;AnoukLe@cy-tech.fr;15;4,927;ACTU;MMF
Thibault;Lebon;ThibaultLebon@cy-tech.fr;15;10,096;MMF;ACTU
Richard;Rocher;RichardRocher@cy-tech.fr;15;9,971;MMF;ACTU
Denise-Valentine;Perrin;Denise-ValentinePerrin@cy-tech.fr;15;9,953;MMF;ACTU
Élisabeth;Leclerc;ÉlisabethLeclerc@cy-tech.fr;15;9,743;MMF;ACTU
David;Bouvier;DavidBouvier@cy-tech.fr;15;9,645;MMF;ACTU
Frédéric;du;Frédéricdu@cy-tech.fr;15;9,532;MMF;ACTU
Marine;Labbe;MarineLabbe@cy-tech.fr;15;10,627;MMF;ACTU
Marthe;Charrier-Lelievre;MartheCharrier-Lelievre@cy-tech.fr;15;9,468;MMF;ACTU
Adélaïde-Antoinette;Pinto;Adélaïde-AntoinettePinto@cy-tech.fr;15;9,363;MMF;ACTU
Luc-Léon;Bernard;Luc-LéonBernard@cy-tech.fr;15;9,061;MMF;ACTU
Antoine;Martel;AntoineMartel@cy-tech.fr;15;8,902;MMF;ACTU
Hortense;Boutin;HortenseBoutin@cy-tech.fr;15;8,569;MMF;ACTU
Louis;Hoareau;LouisHoareau@cy-tech.fr;15;8,389;MMF;ACTU
Alexandre;Carre-Diaz;AlexandreCarre-Diaz@cy-tech.fr;15;8,13;MMF;ACTU
Raymond;Maurice;RaymondMaurice@cy-tech.fr;15;7,589;MMF;ACTU
Louise;Jourdan;LouiseJourdan@cy-tech.fr;15;7,401;MMF;ACTU
Georges-Olivier;Picard;Georges-OlivierPicard@cy-tech.fr;15;7,313;MMF;ACTU
Élise;Durand;ÉliseDurand@cy-tech.fr;15;7,06;MMF;ACTU
Noël;Morel;NoëlMorel@cy-tech.fr;15;6,666;MMF;ACTU
Cécile;Poulain;CécilePoulain@cy-tech.fr;15;6,597;MMF;ACTU
Françoise;Denis;FrançoiseDenis@cy-tech.fr;15;6,388;MMF;ACTU
Isabelle;Gay;IsabelleGay@cy-tech.fr;15;6,273;MMF;ACTU
Alix;Lacombe;AlixLacombe@cy-tech.fr;15;6,187;MMF;ACTU
Thibault;Riou;ThibaultRiou@cy-tech.fr;15;6,066;MMF;ACTU
Bertrand;Hebert;BertrandHebert@cy-tech.fr;15;5,887;MMF;ACTU
Adrien;Valentin;AdrienValentin@cy-tech.fr;15;5,273;MMF;ACTU
Aimée;Lambert;AiméeLambert@cy-tech.fr;15;2,987;MMF;ACTU
Brigitte;Breton;BrigitteBreton@cy-tech.fr;0;0;MMF;ACTU
